1672093797.271233 client started (28128): version 3.2a, socket /private/tmp/tmux-501/default, protocol 8
1672093797.271331 on Darwin 22.2.0 Darwin Kernel Version 22.2.0: Fri Nov 11 02:04:44 PST 2022; root:xnu-8792.61.2~4/RELEASE_ARM64_T8103
1672093797.272174 using libevent 2.1.12-stable (select); utf8proc 2.6.1; ncurses 6.2
1672093797.272223 flags are 0x18010000
1672093797.272235 socket is /private/tmp/tmux-501/default
1672093797.272250 trying connect
1672093797.272284 connect failed: Connection refused
1672093797.272310 lock file is /private/tmp/tmux-501/default.lock
1672093797.272432 flock succeeded
1672093797.272443 got lock (6)
1672093797.272454 trying connect
1672093797.272468 connect failed: Connection refused
1672093797.273021 add peer 0x150048000: 7 (0x0)
1672093797.276129 sending message 100 to peer 0x150048000 (4 bytes)
1672093797.276147 sending message 111 to peer 0x150048000 (8 bytes)
1672093797.276159 sending message 101 to peer 0x150048000 (16 bytes)
1672093797.276172 sending message 109 to peer 0x150048000 (4 bytes)
1672093797.276183 sending message 102 to peer 0x150048000 (13 bytes)
1672093797.276194 sending message 108 to peer 0x150048000 (30 bytes)
1672093797.276205 sending message 112 to peer 0x150048000 (70 bytes)
1672093797.276216 sending message 112 to peer 0x150048000 (5 bytes)
1672093797.276224 sending message 112 to peer 0x150048000 (5 bytes)
1672093797.276233 sending message 112 to peer 0x150048000 (6 bytes)
1672093797.276243 sending message 112 to peer 0x150048000 (6 bytes)
1672093797.276253 sending message 112 to peer 0x150048000 (11 bytes)
1672093797.276264 sending message 112 to peer 0x150048000 (10 bytes)
1672093797.276274 sending message 112 to peer 0x150048000 (13 bytes)
1672093797.276284 sending message 112 to peer 0x150048000 (13 bytes)
1672093797.276293 sending message 112 to peer 0x150048000 (18 bytes)
1672093797.276301 sending message 112 to peer 0x150048000 (11 bytes)
1672093797.276310 sending message 112 to peer 0x150048000 (21 bytes)
1672093797.276320 sending message 112 to peer 0x150048000 (13 bytes)
1672093797.276331 sending message 112 to peer 0x150048000 (7 bytes)
1672093797.276342 sending message 112 to peer 0x150048000 (13 bytes)
1672093797.276353 sending message 112 to peer 0x150048000 (7 bytes)
1672093797.276363 sending message 112 to peer 0x150048000 (13 bytes)
1672093797.276373 sending message 112 to peer 0x150048000 (9 bytes)
1672093797.276388 sending message 112 to peer 0x150048000 (21 bytes)
1672093797.276399 sending message 112 to peer 0x150048000 (13 bytes)
1672093797.276409 sending message 112 to peer 0x150048000 (8 bytes)
1672093797.276419 sending message 112 to peer 0x150048000 (12 bytes)
1672093797.276428 sending message 112 to peer 0x150048000 (13 bytes)
1672093797.276436 sending message 112 to peer 0x150048000 (9 bytes)
1672093797.276446 sending message 112 to peer 0x150048000 (9 bytes)
1672093797.276455 sending message 112 to peer 0x150048000 (12 bytes)
1672093797.276463 sending message 112 to peer 0x150048000 (8 bytes)
1672093797.276474 sending message 112 to peer 0x150048000 (7 bytes)
1672093797.276485 sending message 112 to peer 0x150048000 (7 bytes)
1672093797.276494 sending message 112 to peer 0x150048000 (9 bytes)
1672093797.276504 sending message 112 to peer 0x150048000 (13 bytes)
1672093797.276514 sending message 112 to peer 0x150048000 (9 bytes)
1672093797.276524 sending message 112 to peer 0x150048000 (15 bytes)
1672093797.276536 sending message 112 to peer 0x150048000 (13 bytes)
1672093797.276545 sending message 112 to peer 0x150048000 (12 bytes)
1672093797.276556 sending message 112 to peer 0x150048000 (8 bytes)
1672093797.276566 sending message 112 to peer 0x150048000 (14 bytes)
1672093797.276577 sending message 112 to peer 0x150048000 (9 bytes)
1672093797.276588 sending message 112 to peer 0x150048000 (10 bytes)
1672093797.276608 sending message 112 to peer 0x150048000 (10 bytes)
1672093797.276619 sending message 112 to peer 0x150048000 (10 bytes)
